Timestamp,Gender,Age,City,Region,State,Choose a product category
6/13/2021 18:23:48,Male,15-20,Tier 2 City,Western India,UP,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 18:27:49,Female,21-25,Tier 3 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 18:27:58,Male,15-20,Tier 3 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 18:28:38,Female,15-20,Tier 2 City,Northern India,Punjab,"Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 18:30:04,Female,15-20,Tier 1 City,Southern India,Punjab,"Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 18:38:52,Male,21-25,Tier 1 City,Southern India,andrapredesh,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/13/2021 18:39:35,Male,15-20,Tier 1 City,Northern India,Punjab ,Novels
6/13/2021 18:41:04,Female,15-20,Tier 2 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 18:44:49,Male,21-25,Tier 2 City,Southern India,Tamil nadu,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 18:45:22,Male,21-25,Tier 1 City,Southern India,Kerla,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 18:46:09,Female,21-25,Tier 2 City,Southern India,Karnatka,"Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 18:46:31,Female,21-25,Tier 2 City,Southern India,Kerla,"Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 19:01:12,Male,15-20,Tier 2 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 19:08:56,Male,15-20,Tier 1 City,Northern India,Punjab,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 19:12:43,Male,21-25,Tier 3 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 19:12:58,Female,21-25,Tier 1 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 19:13:11,Female,26-30,Tier 2 City,Northern India,Zirakpur,"Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 19:18:37,Female,15-20,Tier 3 City,Northern India,Punjab,Novels
6/13/2021 19:20:41,Female,15-20,Tier 3 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 19:23:50,Female,15-20,Tier 3 City,Northern India,punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 19:24:07,Male,21-25,Tier 3 City,Northern India,Punjab,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 19:27:52,Female,15-20,Tier 2 City,Northern India,Rajasthan ,Novels
6/13/2021 19:29:38,Female,15-20,Tier 1 City,Eastern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 19:30:18,Female,15-20,Tier 2 City,Northern India,Haryana ,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 19:53:10,Female,21-25,Tier 2 City,Northern India,Haryana,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 20:01:43,Male,21-25,Tier 2 City,Northern India,Punjab,"Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 20:02:36,Male,21-25,Tier 2 City,Northern India,Rajasthan,Novels
6/13/2021 20:15:29,Male,21-25,Tier 1 City,Northern India,Delhi,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.)"
6/13/2021 20:22:39,Female,21-25,Tier 1 City,Northern India,Punjab,"Devices(earphones, smart watches, headphones etc.)"
6/13/2021 20:54:56,Female,21-25,Tier 1 City,Northern India,Punjab,Novels
6/13/2021 21:07:33,Female,15-20,Tier 1 City,Northern India,Punjab,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 21:20:49,Male,21-25,Tier 1 City,Northern India,Punjab,"Accessories(wallets, shoes, jackets etc.)"
6/13/2021 21:31:28,Male,21-25,Tier 1 City,Northern India,Uttar Pradesh,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Novels"
6/13/2021 21:56:59,Male,15-20,Tier 3 City,Northern India,Haryana,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/13/2021 22:23:11,Male,21-25,Tier 2 City,Northern India,Punjab,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 22:40:24,Male,21-25,Tier 2 City,Southern India,Bangalore,"Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels"
6/13/2021 22:41:04,Female,21-25,Tier 1 City,Southern India,Bangalore,"Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 22:41:48,Male,21-25,Tier 1 City,Southern India,Hyderabad,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.)"
6/13/2021 22:42:42,Male,21-25,Tier 1 City,Southern India,Hyderabad,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/13/2021 22:44:51,Male,21-25,Tier 2 City,Western India,RAJASTHAN,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Novels"
6/13/2021 22:45:11,Female,21-25,Tier 2 City,Western India,RAJASTHAN,"Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 22:45:49,Male,15-20,Tier 1 City,Western India,GUJARAT,"Devices(earphones, smart watches, headphones etc.), Novels"
6/13/2021 22:46:02,Male,15-20,Tier 1 City,Eastern India,WestBengal,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 22:46:09,Male,15-20,Tier 2 City,Western India,GUJARAT,"Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/13/2021 22:46:13,Male,21-25,Tier 2 City,Northern India,Uttar Pradesh ,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 22:47:05,Male,15-20,Tier 2 City,Northern India,UttarPradesh,"Subscription of Streaming platforms(Amazon prime, Netflix etc.)"
6/13/2021 22:47:11,Female,15-20,Tier 1 City,Western India,goa,"Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 22:47:53,Male,21-25,Tier 1 City,Northern India,Delhi,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.), Novels"
6/13/2021 22:48:32,Female,15-20,Tier 1 City,Western India,MAHARASHTRA,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.), Novels"
6/13/2021 22:48:37,Male,15-20,Tier 1 City,Northern India,Haryana,"Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.)"
6/13/2021 22:49:24,Female,15-20,Tier 1 City,Western India,MAHARASHTRA,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Devices(earphones, smart watches, headphones etc.), Novels"
6/13/2021 22:49:25,Male,15-20,Tier 3 City,Western India,Odisha,"Subscription of Streaming platforms(Amazon prime, Netflix etc.), Accessories(wallets, shoes, jackets etc.), Devices(earphones, smart watches, headphones etc.), Novels, Personal care and grooming products(perfume, makeup products etc.)"
6/13/2021 22:49:49,Female,15-20,Tier 1 City,Western India,MAHARASHTRA,"Novels, Personal care and grooming products(perfume, makeup products etc.)"
